,Country_Region,Confirmed,Deaths,Recovered
0,Afghanistan,157967,7354,0
1,Albania,207709,3194,0
2,Algeria,216637,6238,0
3,Andorra,21730,139,0
4,Angola,71752,1749,0
5,Antigua and Barbuda,4236,118,0
6,Argentina,5460042,117035,0
7,Armenia,344540,7950,0
8,Australia,312096,2197,0
9,Austria,1266103,13650,0
10,Azerbaijan,614936,8308,0
11,Bahamas,23539,713,0
12,Bahrain,279805,1394,0
13,Bangladesh,1583626,28061,0
14,Barbados,27673,260,0
15,Belarus,694226,5512,0
16,Belgium,2038111,28149,0
17,Belize,31503,592,0
18,Benin,24935,161,0
19,Bhutan,2660,3,0
20,Bolivia,576602,19546,0
21,Bosnia and Herzegovina,288128,13325,0
22,Botswana,208994,2427,0
23,Brazil,22243266,618732,0
24,Brunei,15458,98,0
25,Bulgaria,734720,30574,0
26,Burkina Faso,17040,317,0
27,Burma,529813,19257,0
28,Burundi,23657,38,0
29,Cabo Verde,39173,352,0
30,Cambodia,120464,3009,0
31,Cameroon,108676,1851,0
32,Canada,2005105,30215,0
33,Central African Republic,11961,101,0
34,Chad,5703,181,0
35,Chile,1801033,39056,0
36,China,113800,4849,0
37,Colombia,5124690,129761,0
38,Comoros,5729,153,0
39,Congo (Brazzaville),19490,367,0
40,Congo (Kinshasa),70059,1126,0
41,Costa Rica,568860,7343,0
42,Cote d'Ivoire,63847,707,0
43,Croatia,693813,12375,0
44,Cuba,964857,8321,0
45,Cyprus,152685,630,0
46,Czechia,2447758,35805,0
47,Denmark,647868,3114,0
48,Diamond Princess,712,13,0
49,Djibouti,13572,189,0
50,Dominica,6520,44,0
51,Dominican Republic,414704,4238,0
52,Ecuador,540122,33641,0
53,Egypt,381343,21608,0
54,El Salvador,121741,3820,0
55,Equatorial Guinea,13630,175,0
56,Eritrea,7902,73,0
57,Estonia,237099,1916,0
58,Eswatini,64561,1284,0
59,Ethiopia,398696,6898,0
60,Fiji,53023,697,0
61,Finland,234041,1523,0
62,France,9250923,123883,0
63,Gabon,38039,286,0
64,Gambia,10087,342,0
65,Georgia,925354,13583,0
66,Germany,7027136,110542,0
67,Ghana,136436,1274,0
68,Greece,1084153,20496,0
69,Grenada,5956,200,0
70,Guatemala,625257,16098,0
71,Guinea,31117,389,0
72,Guinea-Bissau,6466,149,0
73,Guyana,39107,1048,0
74,Haiti,25950,765,0
75,Holy See,27,0,0
76,Honduras,379073,10429,0
77,Hungary,1245319,38743,0
78,Iceland,24340,37,0
79,India,34793333,479997,0
80,Indonesia,4261879,144063,0
81,Iran,6186729,131434,0
82,Iraq,2092650,24139,0
83,Ireland,722461,5890,0
84,Israel,1367683,8242,0
85,Italy,5678112,136753,0
86,Jamaica,92705,2463,0
87,Japan,1730735,18383,0
88,Jordan,1047953,12372,0
89,Kazakhstan,1070215,18160,0
90,Kenya,284150,5364,0
91,Kiribati,2,0,0
92,"Korea, South",611670,5300,0
93,Kosovo,161343,2990,0
94,Kuwait,415151,2468,0
95,Kyrgyzstan,184506,2797,0
96,Laos,106778,328,0
97,Latvia,271766,4507,0
98,Lebanon,712570,9042,0
99,Lesotho,28126,665,0
100,Liberia,5929,287,0
101,Libya,386279,5665,0
102,Liechtenstein,5940,69,0
103,Lithuania,512231,7304,0
104,Luxembourg,99717,910,0
105,MS Zaandam,9,2,0
106,Madagascar,49590,1027,0
107,Malawi,71007,2332,0
108,Malaysia,2743936,31369,0
109,Maldives,95032,261,0
110,Mali,20079,654,0
111,Malta,47082,476,0
112,Marshall Islands,4,0,0
113,Mauritania,40504,862,0
114,Mauritius,23208,240,0
115,Mexico,3951003,298777,0
116,Micronesia,1,0,0
117,Moldova,374763,9625,0
118,Monaco,4766,38,0
119,Mongolia,388598,2055,0
120,Montenegro,163954,2395,0
121,Morocco,956410,14832,0
122,Mozambique,172175,1973,0
123,Namibia,146097,3611,0
124,Nepal,827522,11586,0
125,Netherlands,3121190,21193,0
126,New Zealand,13901,50,0
127,Nicaragua,17442,216,0
128,Niger,7271,274,0
129,Nigeria,237561,3022,0
130,North Macedonia,223330,7907,0
131,Norway,374337,1258,0
132,Oman,305174,4114,0
133,Pakistan,1293715,28909,0
134,Palau,8,0,0
135,Panama,487767,7416,0
136,Papua New Guinea,36110,589,0
137,Paraguay,465338,16601,0
138,Peru,2279299,202524,0
139,Philippines,2838792,51211,0
140,Poland,4054865,94365,0
